PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
92,1,3,Passenger_92,male,7.7,0,3,TCK17700,15.58,,S
93,1,2,Passenger_93,female,29.3,1,2,TCK81241,28.65,,S
94,1,2,Passenger_94,male,31.0,0,2,TCK38009,22.67,,S
95,1,2,Passenger_95,female,21.7,1,0,TCK39408,25.11,,S
96,0,3,Passenger_96,male,35.0,0,0,TCK11121,11.65,,S
97,1,2,Passenger_97,male,,1,0,TCK97533,21.53,,S
98,1,1,Passenger_98,male,33.1,0,0,TCK49062,87.61,,Q
99,0,1,Passenger_99,male,31.0,0,0,TCK81769,91.23,,S
100,1,3,Passenger_100,male,24.4,0,0,TCK73690,17.02,,S
101,0,3,Passenger_101,female,,0,3,TCK22759,15.89,,C
102,1,3,Passenger_102,female,12.9,0,0,TCK82120,13.23,,C
103,1,2,Passenger_103,female,38.7,0,0,TCK59526,14.2,,S
104,0,3,Passenger_104,male,25.8,0,1,TCK64387,13.35,,S
105,0,3,Passenger_105,male,2.3,0,0,TCK28028,12.85,,S
106,1,3,Passenger_106,female,1.5,3,1,TCK86217,14.0,,C
107,0,2,Passenger_107,male,29.9,0,0,TCK93849,39.53,,S
108,1,2,Passenger_108,female,27.3,1,2,TCK46584,16.6,,Q
109,1,1,Passenger_109,male,36.8,4,0,TCK18322,98.19,,S
110,1,3,Passenger_110,male,24.7,0,0,TCK86388,18.56,,C
111,0,3,Passenger_111,male,27.7,1,1,TCK89864,13.51,,S
112,1,1,Passenger_112,female,49.4,2,0,TCK55582,162.55,,S
113,1,2,Passenger_113,male,16.7,1,0,TCK62122,17.82,,S
114,1,3,Passenger_114,male,,0,0,TCK30073,14.69,,S
115,1,1,Passenger_115,male,24.9,0,0,TCK16072,57.16,,S
116,1,3,Passenger_116,male,28.5,0,1,TCK94972,11.17,,S
117,0,3,Passenger_117,male,39.9,0,0,TCK53465,14.29,,S
118,0,3,Passenger_118,female,19.8,4,0,TCK34747,17.4,,S
119,0,2,Passenger_119,male,,3,0,TCK72390,23.68,,C
120,1,3,Passenger_120,female,4.6,0,1,TCK12358,19.55,,Q
121,1,3,Passenger_121,female,15.0,1,0,TCK17194,12.51,,S
122,0,3,Passenger_122,male,18.3,0,1,TCK31840,11.27,,S
123,1,1,Passenger_123,male,33.1,2,1,TCK50557,174.85,,S
124,0,2,Passenger_124,male,,0,0,TCK43001,24.31,,Q
125,1,1,Passenger_125,male,34.3,3,1,TCK26861,59.83,,S
126,0,3,Passenger_126,male,37.6,1,0,TCK41621,9.39,,S
127,1,2,Passenger_127,female,21.9,0,0,TCK40051,13.08,,Q
128,1,1,Passenger_128,female,,0,1,TCK57219,115.47,,Q
129,1,1,Passenger_129,female,43.7,1,2,TCK60646,71.76,,S
130,1,3,Passenger_130,male,6.6,0,0,TCK89480,13.66,,S
131,1,1,Passenger_131,female,42.7,0,0,TCK82609,81.87,,S
132,1,3,Passenger_132,female,26.2,2,0,TCK36310,16.8,,C
133,0,3,Passenger_133,male,,0,0,TCK91239,8.6,,S
134,0,2,Passenger_134,male,,0,0,TCK56868,11.97,,S
135,1,3,Passenger_135,male,17.5,0,0,TCK26890,14.17,,S
136,1,1,Passenger_136,male,62.7,0,0,TCK40612,104.19,,S
137,0,3,Passenger_137,male,22.3,3,0,TCK76757,14.73,,S
138,0,3,Passenger_138,male,,0,1,TCK83958,8.79,,S
139,0,3,Passenger_139,male,25.8,0,0,TCK43670,16.52,,C
140,1,1,Passenger_140,female,25.1,0,1,TCK24183,59.01,,C
141,1,3,Passenger_141,female,16.0,3,0,TCK27269,10.29,,S
142,0,3,Passenger_142,male,29.8,0,0,TCK19315,8.09,,C
143,1,3,Passenger_143,female,31.7,2,0,TCK72885,19.77,,S
144,0,3,Passenger_144,female,17.5,1,0,TCK55269,16.29,,S
145,1,3,Passenger_145,male,36.8,1,0,TCK50606,16.15,,S
146,1,2,Passenger_146,male,,4,0,TCK70469,31.48,,C
147,1,2,Passenger_147,male,47.2,1,1,TCK84579,44.63,,C
148,0,3,Passenger_148,male,31.4,3,0,TCK81596,4.11,,Q
149,1,2,Passenger_149,female,46.4,0,1,TCK22342,14.8,,C
150,1,1,Passenger_150,male,15.4,1,0,TCK63065,63.3,,Q
151,0,3,Passenger_151,male,21.2,0,1,TCK89425,8.58,,S
152,0,3,Passenger_152,male,14.6,0,0,TCK79645,7.4,,Q
153,1,1,Passenger_153,male,39.4,2,0,TCK39646,73.93,,S
154,1,3,Passenger_154,female,18.1,4,0,TCK45343,6.67,,S
155,0,1,Passenger_155,male,36.0,1,2,TCK90116,95.26,,S
156,0,3,Passenger_156,male,47.6,0,0,TCK12958,13.27,,S
157,1,2,Passenger_157,male,28.0,0,0,TCK57287,25.04,,S
158,0,3,Passenger_158,male,30.0,0,0,TCK20448,15.64,,S
159,1,3,Passenger_159,male,22.2,0,1,TCK90512,16.14,,S
160,1,3,Passenger_160,male,25.9,0,0,TCK13484,11.06,,S
161,1,1,Passenger_161,male,38.1,0,0,TCK12105,155.27,,C
162,0,3,Passenger_162,male,30.4,0,0,TCK39604,14.22,,S
163,1,1,Passenger_163,female,52.0,1,2,TCK28014,21.42,,S
164,0,1,Passenger_164,male,,0,0,TCK54593,50.32,,S
165,1,3,Passenger_165,male,28.7,3,0,TCK36960,4.0,,S
166,1,2,Passenger_166,female,37.1,1,3,TCK42068,21.15,,S
167,1,3,Passenger_167,female,11.2,0,0,TCK60842,12.37,,C
168,0,3,Passenger_168,male,,0,0,TCK60453,10.56,,S
169,0,2,Passenger_169,male,41.3,0,0,TCK94142,37.89,,C
170,0,3,Passenger_170,male,35.4,4,0,TCK53254,15.85,,C
171,0,2,Passenger_171,male,32.5,0,0,TCK60780,27.1,,S
172,0,3,Passenger_172,female,35.6,0,0,TCK71014,8.16,,C
173,0,2,Passenger_173,male,35.9,3,1,TCK25680,12.61,,S
174,1,3,Passenger_174,female,39.4,4,1,TCK70025,13.19,,C
175,1,1,Passenger_175,female,41.5,0,0,TCK87571,89.81,,C
176,0,1,Passenger_176,male,33.7,0,0,TCK38625,21.63,,C
177,1,2,Passenger_177,female,34.0,0,0,TCK26050,19.49,,S
178,0,3,Passenger_178,male,0.4,0,2,TCK41158,13.07,,C
179,1,3,Passenger_179,female,29.6,0,0,TCK34753,11.88,,Q
180,0,3,Passenger_180,male,,0,0,TCK62662,8.77,,S
181,0,3,Passenger_181,male,4.3,2,0,TCK87735,10.19,,C
182,0,3,Passenger_182,male,30.4,0,0,TCK63678,12.08,,C
183,0,3,Passenger_183,male,,1,0,TCK21295,13.47,,S
184,0,2,Passenger_184,male,,0,1,TCK38322,26.08,,Q
185,1,3,Passenger_185,female,16.5,1,0,TCK72037,18.62,,S
186,1,3,Passenger_186,male,,1,2,TCK39728,11.47,,S
187,1,2,Passenger_187,male,24.2,2,0,TCK62774,17.17,,S
188,0,1,Passenger_188,male,,3,1,TCK72463,98.71,,S
189,0,3,Passenger_189,male,25.0,0,1,TCK39624,16.18,,C
190,1,2,Passenger_190,male,34.9,0,3,TCK68266,17.35,,S
191,0,3,Passenger_191,female,44.4,0,0,TCK45830,17.11,,S
192,1,2,Passenger_192,male,31.6,0,0,TCK22154,29.23,,S
193,1,1,Passenger_193,male,26.0,3,0,TCK43496,127.4,,S
194,0,3,Passenger_194,male,23.7,0,0,TCK49693,22.25,,C
195,1,1,Passenger_195,male,37.6,1,0,TCK10214,54.89,,Q
196,0,1,Passenger_196,male,21.6,0,3,TCK90342,84.47,,S
197,1,3,Passenger_197,female,21.9,0,3,TCK57509,13.06,,S
198,1,3,Passenger_198,male,16.1,0,0,TCK13267,12.49,,S
199,0,1,Passenger_199,female,,1,0,TCK88118,62.18,,S
200,0,2,Passenger_200,male,30.4,1,1,TCK86963,8.52,,S
201,0,3,Passenger_201,male,21.6,0,2,TCK11084,13.48,,S
202,0,3,Passenger_202,female,23.7,0,0,TCK24685,9.0,,S
203,0,3,Passenger_203,female,27.7,1,0,TCK42741,13.45,,S
204,1,1,Passenger_204,female,45.4,0,1,TCK55651,57.32,,S
205,1,1,Passenger_205,female,26.0,3,0,TCK75317,47.05,,S
206,1,1,Passenger_206,female,,0,0,TCK48189,91.87,,C
207,1,1,Passenger_207,female,51.3,0,3,TCK65053,89.07,,C
208,1,3,Passenger_208,male,20.1,0,3,TCK10911,16.01,,S
209,1,1,Passenger_209,female,21.0,0,2,TCK69267,157.45,,C
210,0,3,Passenger_210,male,30.3,0,1,TCK92384,14.44,,C
211,0,3,Passenger_211,male,30.6,0,0,TCK57358,15.52,,S
212,1,3,Passenger_212,female,6.6,4,0,TCK50942,7.4,,S
213,1,1,Passenger_213,female,40.8,0,0,TCK36740,40.76,,S
214,1,3,Passenger_214,female,,0,0,TCK95883,21.23,,C
215,0,3,Passenger_215,male,29.5,0,0,TCK12988,8.2,,S
216,1,3,Passenger_216,female,32.6,0,0,TCK35806,7.57,,S
217,1,1,Passenger_217,female,21.1,0,0,TCK22483,82.69,,S
218,0,1,Passenger_218,male,42.0,0,1,TCK87963,80.97,,S
219,0,3,Passenger_219,male,21.4,1,0,TCK53433,8.31,,Q
220,0,2,Passenger_220,male,24.2,0,0,TCK93014,18.44,,S
221,0,2,Passenger_221,female,40.4,4,0,TCK69863,31.33,,C
222,0,3,Passenger_222,male,42.8,0,0,TCK60114,8.81,,Q
223,1,3,Passenger_223,female,46.5,2,1,TCK56572,5.75,,C
224,1,3,Passenger_224,male,,0,0,TCK28240,17.9,,S
225,1,2,Passenger_225,female,28.7,0,0,TCK60583,25.14,,C
226,0,3,Passenger_226,male,29.2,1,1,TCK71671,9.77,,S
227,1,1,Passenger_227,female,47.2,1,0,TCK96879,30.84,,S
228,0,3,Passenger_228,male,26.5,1,0,TCK59407,9.13,,C
229,1,3,Passenger_229,male,26.6,0,0,TCK94494,12.72,,S
230,0,1,Passenger_230,female,,1,0,TCK95006,123.17,,S
231,1,1,Passenger_231,female,37.3,2,0,TCK57029,49.17,,S
232,1,2,Passenger_232,female,21.2,1,0,TCK49534,20.29,,C
233,0,3,Passenger_233,male,20.0,0,0,TCK22843,16.51,,C
234,0,3,Passenger_234,male,,1,0,TCK34165,4.0,,S
235,0,3,Passenger_235,male,25.0,1,0,TCK89117,18.38,,Q
236,1,3,Passenger_236,male,29.1,3,0,TCK22445,6.85,,S
237,0,3,Passenger_237,female,33.0,0,1,TCK45734,14.73,,S
238,1,3,Passenger_238,female,20.5,0,0,TCK72876,14.28,,S
239,1,1,Passenger_239,female,47.1,1,0,TCK31655,120.44,,Q
240,1,1,Passenger_240,female,42.5,0,0,TCK97668,102.51,,S
241,1,3,Passenger_241,female,10.2,1,0,TCK68452,4.0,,S
242,1,3,Passenger_242,female,42.3,0,0,TCK12550,8.92,,S
243,0,1,Passenger_243,male,32.0,0,1,TCK32245,88.64,,C
244,1,3,Passenger_244,male,,1,2,TCK76639,11.99,,S
245,0,3,Passenger_245,male,12.5,0,0,TCK87686,15.48,,S
246,1,3,Passenger_246,female,12.7,0,0,TCK93422,17.1,,Q
247,0,3,Passenger_247,male,25.6,1,2,TCK86604,16.16,,S
248,1,2,Passenger_248,male,,1,0,TCK16730,19.2,,S
249,1,2,Passenger_249,female,26.0,2,0,TCK75671,5.49,,S
250,1,2,Passenger_250,male,37.4,0,0,TCK19915,17.17,,C
251,0,3,Passenger_251,male,29.1,0,0,TCK16889,15.17,,S
252,1,3,Passenger_252,female,28.8,3,1,TCK72275,7.33,,S
253,1,3,Passenger_253,female,29.9,0,0,TCK53034,16.28,,S
254,0,2,Passenger_254,male,37.4,0,2,TCK68316,28.63,,C
255,1,1,Passenger_255,female,12.7,0,0,TCK86632,88.26,,C
256,0,3,Passenger_256,male,20.6,0,0,TCK16194,4.0,,S
257,0,3,Passenger_257,female,0.4,2,0,TCK57477,6.35,,S
258,1,1,Passenger_258,male,38.4,1,0,TCK85097,147.38,,Q
259,0,1,Passenger_259,male,37.9,1,0,TCK49625,65.64,,S
260,1,3,Passenger_260,male,37.5,0,0,TCK57107,4.0,,S
261,1,1,Passenger_261,male,52.3,0,0,TCK54806,125.5,,S
262,1,3,Passenger_262,female,27.4,0,1,TCK91646,13.07,,S
263,0,2,Passenger_263,male,24.0,0,0,TCK14490,30.28,,S
264,0,1,Passenger_264,male,43.8,0,0,TCK89018,93.31,,S
265,1,3,Passenger_265,male,18.7,0,0,TCK83473,15.38,,S
266,1,1,Passenger_266,female,,0,0,TCK83124,96.2,,S
267,1,2,Passenger_267,female,41.8,0,1,TCK47105,26.86,,C
268,1,1,Passenger_268,female,31.3,1,1,TCK56430,160.52,,S
269,1,1,Passenger_269,male,47.7,0,1,TCK43208,116.63,,S
270,0,1,Passenger_270,male,,0,0,TCK32653,30.9,,C
271,1,1,Passenger_271,male,26.5,1,0,TCK88788,99.01,,S
272,0,1,Passenger_272,male,49.7,1,0,TCK55537,122.35,,C
273,1,1,Passenger_273,female,46.4,1,0,TCK75100,124.41,,S
274,1,3,Passenger_274,female,26.2,0,0,TCK19072,10.78,,C
275,0,3,Passenger_275,male,15.9,1,0,TCK81002,19.06,,S
276,0,2,Passenger_276,male,19.7,0,0,TCK69295,28.79,,S
277,1,2,Passenger_277,female,23.5,0,0,TCK99783,42.61,,S
278,1,3,Passenger_278,male,31.5,0,0,TCK22057,9.1,,S
279,0,3,Passenger_279,male,13.5,0,1,TCK58603,10.36,,S
280,0,3,Passenger_280,male,30.3,0,2,TCK56005,11.41,,C
281,1,1,Passenger_281,male,23.1,0,0,TCK58455,67.53,,C
282,1,1,Passenger_282,male,35.6,1,2,TCK14894,54.1,,S
283,1,1,Passenger_283,male,39.3,0,0,TCK52580,4.0,,C
284,1,2,Passenger_284,male,59.3,0,2,TCK36955,17.35,,C
285,1,3,Passenger_285,male,8.5,0,2,TCK65561,14.92,,C
286,0,2,Passenger_286,male,47.7,0,0,TCK30887,16.86,,S
287,1,1,Passenger_287,male,39.8,0,1,TCK49154,149.03,,S
288,0,2,Passenger_288,female,34.9,0,3,TCK65802,21.11,,S
289,0,3,Passenger_289,female,26.4,0,2,TCK15764,19.71,,S
290,1,1,Passenger_290,male,43.3,1,3,TCK80810,92.78,,Q
291,0,3,Passenger_291,male,,3,0,TCK74415,17.3,,S
292,1,1,Passenger_292,female,55.4,0,0,TCK15157,93.38,,S
293,0,3,Passenger_293,male,19.5,1,1,TCK15826,20.12,,S
294,1,1,Passenger_294,male,,2,0,TCK86524,85.88,,Q
295,1,3,Passenger_295,female,17.3,4,0,TCK35499,15.58,,S
296,1,3,Passenger_296,male,24.3,1,0,TCK87468,14.9,,S
297,1,3,Passenger_297,female,12.1,2,0,TCK54932,11.5,,C
298,0,3,Passenger_298,male,30.5,2,0,TCK40803,15.11,,Q
299,1,3,Passenger_299,female,42.3,1,1,TCK34620,24.62,,S
300,0,3,Passenger_300,male,24.1,0,0,TCK69309,11.59,,C
301,0,3,Passenger_301,male,22.6,0,1,TCK19875,15.18,,C
302,0,1,Passenger_302,male,24.6,0,1,TCK46234,126.26,,S
303,1,3,Passenger_303,male,22.2,0,0,TCK41126,18.93,,C
304,0,3,Passenger_304,female,5.9,0,0,TCK23877,13.06,,S
305,0,3,Passenger_305,male,14.0,0,0,TCK41753,4.0,,S
306,1,3,Passenger_306,male,27.7,0,3,TCK57579,15.69,,S
307,1,2,Passenger_307,female,45.8,0,1,TCK70980,4.0,,S
308,0,3,Passenger_308,female,58.7,1,0,TCK17772,20.64,,S
309,1,2,Passenger_309,male,23.0,0,0,TCK88514,22.42,,S
310,1,1,Passenger_310,male,,0,0,TCK89061,117.59,,S
311,1,3,Passenger_311,female,27.9,1,0,TCK72277,8.31,,S
312,1,2,Passenger_312,female,28.2,1,2,TCK93185,7.96,,S
313,1,1,Passenger_313,female,43.2,4,1,TCK48514,92.76,,S
314,1,2,Passenger_314,female,30.7,2,0,TCK83944,20.72,,S
315,0,2,Passenger_315,female,31.3,2,1,TCK75453,16.87,,S
316,1,2,Passenger_316,male,25.1,0,0,TCK60626,21.71,,S
317,1,2,Passenger_317,male,13.2,0,1,TCK26155,44.25,,Q
318,1,3,Passenger_318,male,,0,0,TCK60183,17.34,,S
319,1,2,Passenger_319,female,,1,0,TCK91120,29.82,,C
320,1,3,Passenger_320,female,21.7,3,2,TCK98613,17.39,,S
321,0,3,Passenger_321,male,17.8,0,0,TCK50325,20.69,,C
322,0,3,Passenger_322,male,25.1,0,1,TCK32310,12.01,,
323,0,2,Passenger_323,male,39.5,0,3,TCK77274,4.0,,C
324,1,3,Passenger_324,female,,0,0,TCK16835,12.02,,S
325,1,3,Passenger_325,male,17.1,0,0,TCK23598,17.22,,S
326,1,3,Passenger_326,male,39.7,0,0,TCK60574,7.96,,S
327,0,3,Passenger_327,male,44.0,3,0,TCK99117,12.08,,S
328,0,3,Passenger_328,male,30.9,0,0,TCK39590,9.4,,C
329,0,3,Passenger_329,male,36.7,1,0,TCK49898,20.81,,Q
330,0,2,Passenger_330,male,44.9,1,1,TCK39010,27.3,,S
331,0,3,Passenger_331,male,38.6,0,0,TCK49644,16.39,,S
332,0,1,Passenger_332,male,45.4,0,0,TCK10637,104.89,,S
333,0,3,Passenger_333,male,32.2,1,1,TCK63524,12.81,,S
334,1,3,Passenger_334,male,31.2,0,0,TCK63660,14.03,,S
335,1,1,Passenger_335,male,,2,1,TCK38400,44.18,,S
336,1,3,Passenger_336,female,33.4,0,0,TCK33762,4.0,,C
337,1,1,Passenger_337,male,21.7,1,2,TCK78543,89.04,,S
338,0,3,Passenger_338,male,15.5,1,0,TCK26907,14.68,,S
339,0,1,Passenger_339,male,,0,0,TCK14235,124.63,,S
340,0,3,Passenger_340,male,35.1,0,2,TCK13638,21.17,,C
341,0,1,Passenger_341,male,55.8,3,0,TCK89356,136.75,,S
342,1,3,Passenger_342,male,21.7,0,0,TCK42792,7.81,,S
343,1,3,Passenger_343,female,11.2,0,0,TCK19164,11.17,,S
344,0,3,Passenger_344,male,22.1,0,1,TCK89106,15.5,,S
345,1,3,Passenger_345,male,26.2,0,0,TCK23375,26.17,,S
346,0,3,Passenger_346,male,25.9,1,0,TCK40300,20.7,,S
347,0,3,Passenger_347,male,38.6,1,0,TCK11861,18.82,,S
348,1,2,Passenger_348,male,25.7,0,0,TCK71115,17.74,,Q
349,0,3,Passenger_349,female,,1,0,TCK72936,8.41,,S
350,1,1,Passenger_350,female,26.1,0,0,TCK78088,110.51,,S
351,0,3,Passenger_351,male,30.4,0,0,TCK33673,7.28,,S
352,1,1,Passenger_352,male,38.0,0,0,TCK39528,75.99,,Q
353,0,3,Passenger_353,male,16.0,4,0,TCK94429,12.4,,Q
354,0,3,Passenger_354,male,22.2,0,0,TCK83946,21.28,,C
355,1,3,Passenger_355,female,22.8,0,0,TCK13344,11.16,,S
356,0,3,Passenger_356,male,21.8,0,0,TCK72268,4.0,,S
357,0,3,Passenger_357,male,,1,0,TCK83145,15.62,,C
358,1,3,Passenger_358,female,23.8,0,0,TCK60331,9.37,,C
359,1,3,Passenger_359,male,22.1,0,0,TCK67590,13.22,,S
360,0,3,Passenger_360,male,0.4,1,0,TCK10089,12.55,,S
361,1,3,Passenger_361,female,14.3,0,1,TCK12704,11.58,,S
362,1,1,Passenger_362,male,,0,0,TCK13158,110.56,,C
363,1,1,Passenger_363,male,29.8,0,0,TCK24307,32.5,,S
364,0,1,Passenger_364,male,,0,0,TCK99176,66.63,,S
365,1,3,Passenger_365,female,23.0,0,0,TCK67091,16.56,,S
366,1,2,Passenger_366,male,45.5,2,0,TCK80404,15.84,,S
367,0,3,Passenger_367,male,25.7,1,0,TCK36602,4.63,,S
368,0,3,Passenger_368,male,25.4,1,0,TCK94379,16.48,,S
369,0,2,Passenger_369,male,28.9,4,0,TCK27902,30.43,,C
370,0,3,Passenger_370,male,25.0,0,1,TCK91206,12.77,,S
371,0,3,Passenger_371,male,45.6,0,2,TCK12771,4.0,,S
372,1,2,Passenger_372,male,2.2,2,0,TCK11839,26.93,,S
373,0,2,Passenger_373,male,6.0,0,0,TCK17100,7.06,,S
374,1,2,Passenger_374,female,23.5,1,1,TCK81265,23.59,,S
375,0,1,Passenger_375,male,,1,0,TCK33174,54.18,,S
376,1,1,Passenger_376,female,46.3,0,1,TCK50602,45.03,,S
377,0,3,Passenger_377,male,30.7,0,0,TCK52417,10.7,,C
378,0,2,Passenger_378,male,25.4,0,2,TCK81059,19.46,,S
379,1,2,Passenger_379,female,42.2,0,3,TCK41385,15.59,,S
380,1,3,Passenger_380,female,37.4,0,0,TCK10604,16.06,,S
381,0,3,Passenger_381,male,,0,0,TCK44782,10.68,,C
382,1,3,Passenger_382,female,36.6,1,0,TCK35937,18.1,,S
383,0,3,Passenger_383,male,,2,0,TCK75778,14.46,,C
384,1,3,Passenger_384,male,18.3,1,0,TCK77618,9.37,,Q
385,1,2,Passenger_385,female,38.4,0,3,TCK18276,13.73,,S
386,0,3,Passenger_386,male,26.3,0,0,TCK81371,4.43,,S
387,1,3,Passenger_387,female,25.0,0,0,TCK16344,14.51,,C
388,1,3,Passenger_388,male,42.7,0,1,TCK65773,11.16,,S
389,1,1,Passenger_389,female,8.6,3,0,TCK45035,4.29,,S
